candidate_id,rank,score,reasoning
CAND_0068811,21,0.6850,"Maybe: Applied ML Engineer at Freshworks with 8.0 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, rag, search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.9 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, external validation or GitHub signal; signals: response 0.42, active 39d ago, notice 30d"
CAND_0011687,22,0.6848,"Maybe: Senior NLP Engineer at Niramai with 7.8 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, hybrid retrieval, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.7 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset; signals: response 0.89, active 50d ago, notice 15d"
CAND_0050876,23,0.6834,"Maybe: Applied ML Engineer at Freshworks with 6.0 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via rag, search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 5.9 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations; signals: response 0.67, active 34d ago, notice 90d"
CAND_0081686,24,0.6828,"Maybe: Search Engineer at Netflix with 6.0 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, bm25, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 3.4 inferred years in production AI-adjacent roles; missing/weak: ranking evaluation metrics, startup/product shipping mindset, preferred location or relocation signal; signals: response 0.91, active 65d ago, notice 60d"
CAND_0083307,25,0.6818,"Maybe: Search Engineer at CRED with 7.8 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 6.5 inferred years in production AI-adjacent roles; missing/weak: startup/product shipping mindset; signals: response 0.70, active 100d ago, notice 120d"
CAND_0042029,26,0.6721,"Maybe: Senior Data Scientist at Flipkart with 6.5 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 6.5 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence; signals: response 0.67, active 77d ago, notice 45d"
CAND_0017960,27,0.6669,"Maybe: Recommendation Systems Engineer at Nykaa with 7.7 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, recommendation systems via recommendation; production systems: 7.6 inferred years in production AI-adjacent roles; signals: response 0.72, active 63d ago, notice 60d"
CAND_0041611,28,0.6633,"Maybe: Staff Machine Learning Engineer at Locobuzz with 6.4 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, dense retrieval, ranking via ranking, ranker, learning to rank, search systems via search, opensearch, bm25; production systems: 6.2 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset, responsive/recent Redrob signals; signals: response 0.07, active 208d ago, notice 30d"
CAND_0086151,29,0.6633,"Maybe: Recommendation Systems Engineer at Wysa with 7.7 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, bm25, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 4.5 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset; signals: response 0.52, active 98d ago, notice 120d"
CAND_0070398,30,0.6624,"Maybe: Machine Learning Engineer at Genpact AI with 7.2 yrs; JD match: 5/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 2.2 inferred years in production AI-adjacent roles; signals: response 0.60, active 76d ago, notice 120d"
CAND_0010257,31,0.6615,"Maybe: Senior Data Scientist at Google with 6.5 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, search, ranking via ranking, recommendation systems via recommendation; production systems: 6.4 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, external validation or GitHub signal; signals: response 0.72, active 47d ago, notice 120d"
CAND_0080766,32,0.6595,"Maybe: Staff Machine Learning Engineer at Salesforce with 8.8 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, re ranking, relevance, recommendation systems via personalization; production systems: 8.8 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, external validation or GitHub signal; signals: response 0.66, active 81d ago, notice 0d"
CAND_0039754,33,0.6573,"Maybe: Senior Applied Scientist at Meta with 16.2 yrs; JD match: 5/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, dense retrieval, ranking via ranking, ranker, learning to rank, recommendation systems via recommendation; production systems: 8.2 inferred years in production AI-adjacent roles; missing/weak: startup/product shipping mindset; risk: profile years and career durations differ materially; signals: response 0.81, active 46d ago, notice 30d"
CAND_0027691,34,0.6544,"Maybe: NLP Engineer at Haptik with 6.5 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, bm25, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 3.6 inferred years in production AI-adjacent roles; missing/weak: ranking evaluation metrics, startup/product shipping mindset; signals: response 0.68, active 90d ago, notice 15d"
CAND_0047721,35,0.6516,"Maybe: Senior Data Scientist at Microsoft with 7.0 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.0 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, strong Python evidence, startup/product shipping mindset; signals: response 0.49, active 85d ago, notice 90d"
CAND_0002025,36,0.6504,"Maybe: Senior AI Engineer at Apple with 5.9 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, deep learning, retrieval via retrieval, hybrid retrieval, bm25, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 5.8 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, startup/product shipping mindset; signals: response 0.80, active 34d ago, notice 30d"
CAND_0092278,37,0.6495,"Maybe: Senior NLP Engineer at Microsoft with 6.8 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, dense retrieval, ranking via ranking, ranker, learning to rank, recommendation systems via recommendation; production systems: 6.7 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, responsive/recent Redrob signals, external validation or GitHub signal; signals: response 0.07, active 234d ago, notice 90d"
CAND_0006567,38,0.6488,"Maybe: Senior AI Engineer at Meta with 7.9 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, bm25, ranking via ranking, re ranking, relevance, recommendation systems via recommendation, personalization; production systems: 7.8 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, external validation or GitHub signal; signals: response 0.79, active 57d ago, notice 60d"
CAND_0057563,39,0.6435,"Maybe: NLP Engineer at Locobuzz with 6.8 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 4.5 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, strong Python evidence, external validation or GitHub signal; signals: response 0.83, active 69d ago, notice 60d"
CAND_0028793,40,0.6391,"Maybe: Search Engineer at Google with 7.2 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 4.4 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence; signals: response 0.57, active 77d ago, notice 120d"
CAND_0061265,41,0.6378,"Maybe: Recommendation Systems Engineer at Zoho with 6.6 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, bm25, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 4.8 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, ranking evaluation metrics; signals: response 0.94, active 96d ago, notice 120d"
CAND_0075249,42,0.6357,"Maybe: Applied ML Engineer at Zomato with 6.2 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, bm25, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 3.0 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset, external validation or GitHub signal; signals: response 0.82, active 81d ago, notice 45d"
CAND_0044883,43,0.6312,"Maybe: AI Engineer at Mad Street Den with 6.3 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, relevance, recommendation systems via recommendation; production systems: 5.0 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence; signals: response 0.84, active 53d ago, notice 90d"
CAND_0069905,44,0.6310,"Maybe: Applied ML Engineer at Sarvam AI with 6.6 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 1.1 inferred years in production AI-adjacent roles; missing/weak: ranking evaluation metrics, startup/product shipping mindset, external validation or GitHub signal; signals: response 0.78, active 69d ago, notice 90d"
CAND_0007412,45,0.6300,"Maybe: Applied ML Engineer at Zoho with 7.4 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via rag, bm25, search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.2 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, external validation or GitHub signal; signals: response 0.76, active 71d ago, notice 120d"
CAND_0052328,46,0.6282,"Maybe: Recommendation Systems Engineer at Amazon with 6.5 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, rag, search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 6.4 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, ranking evaluation metrics, startup/product shipping mindset; signals: response 0.79, active 90d ago, notice 30d"
CAND_0049896,47,0.6276,"Maybe: Search Engineer at Unacademy with 7.3 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, rag, ranking via ranking, recommendation systems via recommendation; production systems: 7.2 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, strong Python evidence, external validation or GitHub signal; signals: response 0.43, active 43d ago, notice 90d"
CAND_0040117,48,0.6264,"Maybe: Recommendation Systems Engineer at PhonePe with 6.5 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, rag, bm25, ranking via ranking, recommendation systems via recommendation; production systems: 6.4 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset, external validation or GitHub signal; signals: response 0.66, active 104d ago, notice 15d"
CAND_0018549,49,0.6259,"Maybe: Recommendation Systems Engineer at Uber with 6.8 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 6.8 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, strong Python evidence, startup/product shipping mindset; signals: response 0.73, active 62d ago, notice 60d"
CAND_0060054,50,0.6245,"Maybe: AI Engineer at Mad Street Den with 6.4 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, bm25, ranking via ranking, relevance, recommendation systems via recommendation; production systems: 3.8 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset, external validation or GitHub signal; signals: response 0.86, active 104d ago, notice 15d"
CAND_0033861,51,0.6229,"Maybe: Senior NLP Engineer at Mad Street Den with 8.0 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, hybrid retrieval, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.9 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, strong Python evidence, startup/product shipping mindset; signals: response 0.16, active 133d ago, notice 30d"
CAND_0011432,52,0.6220,"Maybe: Senior Data Scientist at Amazon with 7.6 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, rag, search, ranking via ranking, recommendation systems via recommendation; production systems: 7.5 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, strong Python evidence, external validation or GitHub signal; signals: response 0.67, active 105d ago, notice 60d"
CAND_0096172,53,0.6211,"Maybe: NLP Engineer at Krutrim with 5.2 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, relevance, recommendation systems via recommendation; production systems: 1.8 inferred years in production AI-adjacent roles; missing/weak: startup/product shipping mindset; signals: response 0.47, active 57d ago, notice 45d"
CAND_0031593,54,0.6188,"Maybe: Search Engineer at Genpact AI with 7.8 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, rag, bm25, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.7 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, strong Python evidence, external validation or GitHub signal; signals: response 0.58, active 102d ago, notice 90d"
CAND_0053695,55,0.6188,"Maybe: Recommendation Systems Engineer at Meesho with 5.8 yrs; JD match: 2/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, bm25, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 4.5 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence; signals: response 0.60, active 88d ago, notice 15d"
CAND_0044222,56,0.6157,"Maybe: AI Engineer at PolicyBazaar with 7.7 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, bm25, ranking via ranking, relevance, recommendation systems via recommendation; production systems: 3.6 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset, external validation or GitHub signal; signals: response 0.60, active 45d ago, notice 60d"
CAND_0095528,57,0.6148,"Maybe: Senior Data Scientist at Netflix with 5.3 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, recommendation systems via recommendation; production systems: 5.2 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, startup/product shipping mindset, external validation or GitHub signal; signals: response 0.55, active 57d ago, notice 45d"
CAND_0006557,58,0.6146,"Maybe: NLP Engineer at Paytm with 7.9 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.8 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, strong Python evidence, startup/product shipping mindset; signals: response 0.63, active 80d ago, notice 120d"
CAND_0093912,59,0.6142,"Maybe: Senior Data Scientist at Razorpay with 5.3 yrs; JD match: 2/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 3.6 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, ranking evaluation metrics, startup/product shipping mindset; signals: response 0.66, active 49d ago, notice 30d"
CAND_0041568,60,0.6086,"Maybe: Search Engineer at Haptik with 5.2 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, semantic search, rag, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 5.1 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, preferred location or relocation signal, external validation or GitHub signal; signals: response 0.52, active 84d ago, notice 90d"
CAND_0052335,61,0.6066,"Maybe: Applied ML Engineer at Aganitha with 6.4 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via semantic search, rag, search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 6.3 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, strong Python evidence, startup/product shipping mindset; signals: response 0.79, active 80d ago, notice 60d"
CAND_0089552,62,0.6066,"Maybe: Machine Learning Engineer at Netflix with 6.0 yrs; JD match: 4/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via semantic search, rag, bm25, ranking via ranking, recommendation systems via recommendation; production systems: 5.9 inferred years in production AI-adjacent roles; missing/weak: strong Python evidence, startup/product shipping mindset, external validation or GitHub signal; signals: response 0.49, active 63d ago, notice 120d"
CAND_0099401,63,0.6066,"Maybe: NLP Engineer at Dream11 with 7.7 yrs; JD match: 2/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, information retrieval, semantic search, ranking via ranking, learning to rank, learning to rank, recommendation systems via recommendation; production systems: 7.5 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations, ranking evaluation metrics, startup/product shipping mindset; signals: response 0.42, active 33d ago, notice 90d"
CAND_0096142,64,0.6055,"Maybe: Applied ML Engineer at upGrad with 5.0 yrs; JD match: 3/5 core production AI/retrieval groups are evidenced; relevant skills: production AI via ai, ml, machine learning, retrieval via retrieval, rag, bm25, ranking via ranking, recommendation systems via recommendation; production systems: 5.0 inferred years in production AI-adjacent roles; missing/weak: vector database or hybrid search operations; signals: response 0.84, active 39d ago, notice 120d"
